# time [s]	  Signal 1	  Signal 2
     38.75	    0.0860	   -0.2058
     38.80	    0.8716	    0.1292
     38.85	   -0.9571	    0.7440
     38.90	    0.2239	   -0.0950
     38.95	   -0.9756	    0.6287
     39.00	    0.7411	    0.1051
     39.05	   -0.5414	    0.4508
     39.10	   -0.7436	    0.4402
     39.15	   -0.6701	   -0.8836
     39.20	    0.4134	   -0.9375
     39.25	    0.5766	    0.4843
     39.30	   -0.2802	    0.9439
     39.35	   -0.8003	   -0.0520
     39.40	    0.0977	   -0.9795
     39.45	   -0.8290	   -0.5819
     39.50	    0.7043	    0.1575
     39.55	   -0.6198	   -0.3436
     39.60	   -0.1415	   -0.9713
     39.65	   -0.9955	    0.5699
     39.70	    0.7678	   -0.9834
     39.75	   -0.2862	    0.5488
     39.80	   -0.9431	   -0.4864
     39.85	   -0.6391	    0.9250
     39.90	   -0.5875	    0.6922
     39.95	   -0.3698	   -0.4994
     40.00	   -0.2275	   -0.9623
     40.05	    0.8347	   -0.7790
     40.10	    0.4862	    0.0819
     40.15	    0.2761	   -0.6585
     40.20	   -0.5638	    0.9092
     40.25	   -0.6508	    0.2058
     40.30	   -0.0938	    0.8298
     40.35	   -0.4858	   -0.6379
     40.40	    0.6776	    0.3677
     40.45	    0.6228	   -0.6013
     40.50	    0.5320	    0.9678
     40.55	   -0.5435	   -0.7731
     40.60	    0.2297	   -0.1055
     40.65	   -0.0822	    0.5954
     40.70	    0.0233	   -0.2935
     40.75	    0.7241	   -0.0680
     40.80	    0.1405	    0.0087
     40.85	    0.9034	    0.4260
     40.90	    0.7969	   -0.2010
     40.95	    0.5230	    0.0416
     41.00	   -0.0806	    0.7587
     41.05	   -0.0768	   -0.7419
     41.10	   -0.1334	    0.1471
     41.15	   -0.5936	    0.2163
     41.20	    0.9486	    0.4004
     41.25	    0.9996	   -0.1856
     41.30	   -0.4486	   -0.7669
     41.35	    0.0817	    0.3102
     41.40	    0.5490	    0.5122
     41.45	    0.9417	   -0.6036
     41.50	   -0.3393	    0.9072
     41.55	    0.0956	   -0.4477
     41.60	    0.3149	    0.7745
     41.65	   -0.8678	   -0.7127
     41.70	   -0.9933	    0.3415
     41.75	   -0.7893	    0.4955
     41.80	    0.2387	    0.8552
     41.85	   -0.7004	   -0.8442
     41.90	   -0.1944	   -0.8985
     41.95	    0.1708	   -0.2567
     42.00	   -0.2790	    0.0834
     42.05	   -0.3261	    0.3036
     42.10	   -0.6578	   -0.7520
     42.15	    0.7116	    0.7132
     42.20	   -0.9897	   -0.4267
     42.25	   -0.7025	    0.0370
     42.30	   -0.2021	    0.3873
     42.35	    0.3341	    0.4645
     42.40	    0.5018	   -0.3952
     42.45	   -0.7130	    0.0395
     42.50	   -0.8598	   -0.8704
     42.55	   -0.4834	    0.5447
     42.60	    0.4692	    0.6358
     42.65	    0.6008	    0.1219
     42.70	    0.7376	    0.3836
     42.75	   -0.4882	    0.4400
     42.80	    0.4029	   -0.5287
     42.85	    0.6917	   -0.5715
     42.90	   -0.4055	    0.8959
     42.95	    0.2607	    0.6467
     43.00	   -0.8287	    0.6306
     43.05	    0.1868	   -0.0894
     43.10	    0.8902	    0.3675
     43.15	   -0.5455	    0.3809
     43.20	   -0.4887	   -0.7100
     43.25	   -0.6045	    0.4832
     43.30	   -0.9540	    0.1612
     43.35	   -0.7671	    0.0133
     43.40	   -0.0356	   -0.1905
     43.45	   -0.3033	    0.9600
     43.50	    0.9932	    0.7682
     43.55	   -0.4369	   -0.9714
     43.60	    0.4510	    0.9014
     43.65	   -0.0263	   -0.1627
     43.70	    0.8792	    0.7754
     43.75	   -0.0911	    0.4153
     43.80	   -0.0421	   -0.8071
     43.85	    0.1057	    0.1887
     43.90	   -0.5028	   -0.1808
     43.95	   -0.5431	    0.1452
     44.00	    0.3331	   -0.8674
     44.05	    0.1844	   -0.6212
     44.10	    0.8241	    0.1498
     44.15	    0.0001	    0.7913
     44.20	   -0.6923	   -0.2168
     44.25	   -0.7626	    0.5697
     44.30	   -0.1612	    0.1632
     44.35	    0.3155	    0.0929
     44.40	    0.6114	    0.2225
     44.45	   -0.5563	    0.2937
     44.50	    0.4938	    0.3050
     44.55	   -0.3129	   -0.7382
     44.60	   -0.1730	    0.8732
     44.65	    0.0013	    0.0806
     44.70	    0.6770	    0.9884
     44.75	   -0.9257	    0.7405
     44.80	   -0.3036	   -0.6023
     44.85	    0.4984	    0.8647
     44.90	   -0.0235	    0.5336
     44.95	   -0.0427	   -0.0856
     45.00	   -0.6464	    0.9376
     45.05	    0.7026	   -0.4153
     45.10	   -0.1793	   -0.6130
     45.15	   -0.3257	   -0.0994
     45.20	   -0.0823	   -0.3654
     45.25	    0.2548	    0.4053
     45.30	    0.0907	    0.4793
     45.35	   -0.8477	   -0.0634
     45.40	    0.3350	    0.1822
     45.45	    0.0705	   -0.9356
     45.50	   -0.8623	    0.2023
     45.55	   -0.9101	   -0.7714
     45.60	   -0.6326	   -0.5853
     45.65	   -0.6419	    0.2089
     45.70	   -0.7590	   -0.1549
     45.75	    0.6935	    0.7239
     45.80	   -0.3674	    0.4687
     45.85	    0.4512	   -0.1811
     45.90	    0.0754	   -0.4000
     45.95	   -0.8791	   -0.9575
     46.00	   -0.1730	    0.2210
     46.05	    0.5060	   -0.8023
     46.10	    0.8633	   -0.1127
     46.15	    0.9029	    0.3693
     46.20	   -0.2944	   -0.9818
     46.25	    0.1217	   -0.1043
     46.30	   -0.6515	    0.7007
     46.35	    0.0988	    0.6134
     46.40	    0.0695	   -0.2556
     46.45	   -0.8452	   -0.2133
     46.50	    0.0994	   -0.3295
     46.55	   -0.1074	   -0.6751
     46.60	    0.0998	   -0.7015
     46.65	    0.9066	   -0.4471
     46.70	   -0.1154	    0.4310
     46.75	   -0.5624	    0.6171
     46.80	    0.8714	   -0.6674
     46.85	    0.3381	   -0.7381
     46.90	    0.6454	    0.9265
     46.95	    0.2981	    0.0393
     47.00	   -0.5458	   -0.0376
     47.05	   -0.5218	    0.9880
     47.10	   -0.9567	    0.3142
     47.15	   -0.8196	    0.2675
     47.20	    0.3549	    0.0508
     47.25	    0.0705	    0.2737
     47.30	    0.3834	   -0.2739
     47.35	   -0.5997	   -0.7287
     47.40	   -0.5226	   -0.7973
     47.45	   -0.2778	   -0.0970
     47.50	   -0.8548	   -0.7398
     47.55	    0.4909	   -0.4921
     47.60	    0.1535	    0.0472
     47.65	   -0.8878	    0.0939
     47.70	    0.7607	    0.2994
     47.75	   -0.0044	    0.1971
     47.80	    0.8176	    0.2290
     47.85	   -0.0592	   -0.8151
     47.90	   -0.2624	   -0.0303
     47.95	    0.1776	    0.6634
     48.00	    0.6728	    0.7543
     48.05	    0.5787	    0.0630
     48.10	    0.7802	   -0.0510
     48.15	    0.3192	   -0.6606
     48.20	   -0.4182	    0.9758
     48.25	   -0.5322	    0.0111
     48.30	   -0.1888	   -0.8953
     48.35	    0.8336	    0.0787
     48.40	   -0.7060	   -0.8035
     48.45	    0.6658	   -0.4115
     48.50	   -0.1517	   -0.1699
     48.55	    0.4926	   -0.5841
     48.60	   -0.0971	   -0.8201
     48.65	    0.7723	   -0.0614
     48.70	    0.5473	   -0.6618
     48.75	   -0.4901	    0.3965
     48.80	   -0.5786	    0.3551
     48.85	   -0.3962	    0.9999
     48.90	   -0.5262	   -0.4559
     48.95	    0.4388	   -0.1673
     49.00	   -0.2799	   -0.8436
     49.05	    0.2209	    0.3852
     49.10	   -0.7244	   -0.4982
     49.15	    0.1953	   -0.0276
     49.20	    0.9426	   -0.2506
     49.25	    0.9384	    0.4798
     49.30	   -0.7403	   -0.7536
     49.35	   -0.5907	   -0.3823
     49.40	   -0.2917	   -0.6078
     49.45	    0.5375	    0.2672
     49.50	    0.9113	    0.6746
     49.55	    0.7071	   -0.8198
     49.60	   -0.2917	   -0.1880
     49.65	   -0.3195	    0.0717
     49.70	    0.1359	    0.7821
     49.75	    0.6187	    0.7714
     49.80	   -0.3251	   -0.2933
     49.85	    0.4814	   -0.2246
     49.90	    0.8061	   -0.4715
     49.95	   -0.5900	    0.4178
